created_at,wallet,tx_hash,crystals,exit_asset,exit_amount,exit_usd,fifo_cost_usd,cost_basis_coverage,realized_profit_usd,owner_wallet
2026-08-09T11:41:41Z,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xa14a650165830d8ba086dd0da3dd07e81b5574b792c908fe921fc4787d664f40,5366894.743097006,RON/WRON,76.14430084500347,3.981646844926285,0.0,0.0,,False
2026-08-09T10:39:41Z,UNRESOLVED,0x74f2b5913554c51cf86afe11ba465121ed185a9ce7bf33059db1da88c6195bfa,4984479.321150358,USDC,1.0,1.0,2.394111805185699,0.39232094270411655,-1.394111805185699,False
2026-08-09T09:58:45Z,0xf1a4048812f970514771105962a0378df7153643,0xaa651a59fa6ffc541e2a12905d942945b0d35f625190be04149cd10c8c61236f,78539.63441960384,USDC,0.387311,0.387311,1.1897613824295492,1.0,-0.8024503824295492,False
2026-08-09T09:58:57Z,0xf1a4048812f970514771105962a0378df7153643,0x9dbdb801468552b3f53e095669e00d82c38a4db4664b2fd022efea9554db6dfd,81573.72109554427,USDC,0.381176,0.381176,0.6672605173666167,0.7405352218066805,-0.2860845173666167,False
2026-08-09T09:59:09Z,UNRESOLVED,0xcec7c505fe1f76cd300bad1c4a5295619c2c187805ef8f125410e631ba0a04be,57256.71805686018,USDC,0.240948,0.240948,0.6952013336604446,0.9999999999999999,-0.45425333366044457,False
2026-08-09T09:51:29Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0x07321bb3baec0341978f173ea7d2db5301ab7face825f27e9b273b84a68bf372,22361.298261917385,USDC,0.194147,0.194147,0.09683428407377337,0.367260189412861,0.09731271592622662,False
2026-08-09T09:31:23Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0x85edfde55ba6b7b06035dfd08e4dc3e80be8162fc7c8f2847f86a0e1c243d0a3,14044.385452050077,USDC,0.18707,0.18707,0.15264259022443477,0.6314631875569503,0.034427409775565215,False
2026-08-09T09:38:19Z,UNRESOLVED,0x6e4731f8e65e20e273a61f7a6a138b4fe6087e19fee60d62a54d42a6c22ac9b3,15847.210290572546,USDC,0.151398,0.151398,0.26011341421098455,1.0,-0.10871541421098455,False
2026-08-09T09:32:59Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0x8f27e7b07650652bb0301d3924775aa60dc02bb236e2f34fe9b9587d89f35458,12118.711748589596,USDC,0.142261,0.142261,0.19788046951685861,0.9999999999999999,-0.055619469516858616,False
2026-08-09T09:51:37Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0x0e12bae80b03015be5e01c7bc8b6799d7ce8644f077256eb3005718c5fbda9e9,15678.679509725824,USDC,0.134751,0.134751,0.23209599092550742,1.0,-0.09734499092550741,False
2026-08-09T09:30:17Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0xa1bdabcaa0cdefb2fc25edb5676baf47400ae940028abae40941c88f31c1c019,9252.865826860765,USDC,0.134362,0.134362,0.16769103323210408,1.0,-0.033329033232104066,False
2026-08-09T09:35:47Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0xe4c69bb5b2eb8843a8559724f2bf051bf5697ca3b9e01fec6c8ef5d5cfd47495,11685.590910945919,USDC,0.126551,0.126551,0.0,0.0,,False
2026-08-09T09:36:53Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0x37c1d9a661274bad3be6914218ec73f503cfedbf54df91c0b3cf3a9319d6f0a6,12379.426402229823,USDC,0.125213,0.125213,0.0,0.0,,False
2026-08-09T09:29:35Z,0xf1a4048812f970514771105962a0378df7153643,0xd8644f180d15aff82d3cdafd2fea4bcdbb1a22c2f60d0aceeba5ee03116038b7,7652.915405371732,USDC,0.120301,0.120301,0.14620350211796057,1.0,-0.025902502117960566,False
2026-08-09T09:31:35Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0xeb85274099065c10b7b3ce48c632a82d3492267af55075ba0fdb273ce7b9485a,8689.066918622799,USDC,0.112564,0.112564,0.15327679572026098,1.0,-0.040712795720260986,False
2026-08-09T09:59:17Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0x3abc6b04b8aa8a513208a3d6c83ee1476cb036b9c16ea73fdd2b7e9275a07a64,25908.414001515506,USDC,0.111011,0.111011,0.2908461505546014,1.0,-0.1798351505546014,False
2026-08-09T09:24:09Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0x97da1c9906605baad514acd5f2be2387346c246d06ea85720261d9a404eef77c,5546.324124717264,USDC,0.102128,0.102128,0.0,0.0,,False
2026-08-09T09:51:45Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0xa4444c182ac4ace6f3e0e69813ccc8a7204dcbf2c48b1e5fa713c2f84883bf7f,12122.234693502887,USDC,0.102001,0.102001,0.10352084611835123,1.0,-0.0015198461183512368,False
2026-08-09T09:27:23Z,UNRESOLVED,0x6ab9f8d47d25438d897d9ffc1a02d800317ec47a0704c98b2b2c5d3a601b1cf4,5772.017494143302,USDC,0.100574,0.100574,0.0,0.0,,False
2026-08-09T09:59:33Z,0x191165e42b06ef3b8786ab7c5980aa47199ea737,0xd3e56e59b5e2ad46c0d828efc7b68b4fbf161685bf3c51312896a953b1898e46,25931.24895967258,USDC,0.10044,0.10044,0.23657020495299633,1.0,-0.13613020495299633,False
2026-08-09T09:59:25Z,0xf1a4048812f970514771105962a0378df7153643,0xadd72c2d61c4f5ef4d3196e241e6eacad0add00afa89971db67135761873e2c4,24058.265977495634,USDC,0.099506,0.099506,0.0,0.0,,False
2026-08-09T09:30:27Z,0x8a4379a0fad343161f1ee1699be97f17e93931c2,0x98f31929c066bbf19ae6e1a1a75f9e61228357921672b0e7b8abbe76c97a2716,6803.725946082131,USDC,0.098318,0.098318,0.11936020418388778,1.0,-0.021042204183887775,False
