wallet,cashout_tx_count,crystals_sold,usdc_received,wron_received,exit_usd,fifo_cost_usd,cost_basis_coverage,profit_known_usd,profit_known_tx_count,tx_hashes
0xf70da97812cb96acdf810712aa562db8dfa3dbef,1,5366894.743097006,0.0,76.14430084500347,3.981646844926285,0.0,0.0,0.0,0,0xa14a650165830d8ba086dd0da3dd07e81b5574b792c908fe921fc4787d664f40
UNRESOLVED,9,5089695.764488651,1.8577519999999996,0.0,1.8577519999999996,3.639598103102711,0.40209620222059766,-2.0366301031027114,6,0x74f2b5913554c51cf86afe11ba465121ed185a9ce7bf33059db1da88c6195bfa|0xcec7c505fe1f76cd300bad1c4a5295619c2c187805ef8f125410e631ba0a04be|0x6e4731f8e65e20e273a61f7a6a138b4fe6087e19fee60d62a54d42a6c22ac9b3|0x6ab9f8d47d25438d897d9ffc1a02d800317ec47a0704c98b2b2c5d3a601b1cf4|0xc44e43a8f5dfb0a042252d2802a82716cd544f4482978a11d9c49e4ba9904769|0xbe0826dd193f965bb1f44f8e6c4a4d267dccffc8cfc008349c11690b1d134d6d|0x759bf5b1f2b6b781e6d36b45b6c42ac4fcbe6c07ab53c1fdc46bb7cb9533d90e|0xc6253a04aefeb1f9ce04fcb6d67f695f11460fe9083b27f406490266ce17ba93|0xc2b15b7a430efc119481c316fdb6aa1f7a55ce7197abdfdcf26d63740c9fb332
0xf1a4048812f970514771105962a0378df7153643,15,259071.07942526354,1.7579,0.0,1.7579,2.7550404762064575,0.7810319668188858,-1.318889476206458,11,0xaa651a59fa6ffc541e2a12905d942945b0d35f625190be04149cd10c8c61236f|0x9dbdb801468552b3f53e095669e00d82c38a4db4664b2fd022efea9554db6dfd|0xd8644f180d15aff82d3cdafd2fea4bcdbb1a22c2f60d0aceeba5ee03116038b7|0xadd72c2d61c4f5ef4d3196e241e6eacad0add00afa89971db67135761873e2c4|0xec0d4c760b439a69a6d3b2209fb7b48b2ab59fa009b8e0a72ea55d2601f843b9|0x5ac0ed3a0f970239be8dcd019f6b260fbc3f41a0345e20fecb0cf558ec31b7c2|0x164ed9df19405b78793881a02be48d990d65c550c3a57aa0326d3a67194ce4c1|0x26528d2320c8842ff02c5a19253baccb6bc97f8f613e0c71204060f98b3b58ff|0xeafbbee6dc444d55e8c9100271cc4c78096f471b58d731ff22368d9fd39924cb|0x656c445728f1457d5ad9065dafe0916e75f2295bc1dad575d7d1ef203f678629|0x38aa7bfd50f78241bb07f4a7d58da2b72ec3e7c61bb7cb2d6eb340d7d5dc3bce|0xacdeb9f0558a2838f29a2fc010845a8fb60c035f1b443df8e1ca6e07bf29dbdb|0x429078c83e45a85f9980e2ce6392a844b5f5f0b341db97ee1c0c4f3a9d026861|0x995581105b9bc31188cbba26d55748be9155b8d1b858929e9ccafaa62e7fa48a|0x847679ff2bd2388e7d1410aa2a197113d480ae76cf5d8bba2c7af5c956b5a15d
0x8a4379a0fad343161f1ee1699be97f17e93931c2,14,143181.7078648904,1.455897,0.0,1.455897,1.1032674842554124,0.6103255156001838,0.0052805157445875925,11,0x07321bb3baec0341978f173ea7d2db5301ab7face825f27e9b273b84a68bf372|0x85edfde55ba6b7b06035dfd08e4dc3e80be8162fc7c8f2847f86a0e1c243d0a3|0xa1bdabcaa0cdefb2fc25edb5676baf47400ae940028abae40941c88f31c1c019|0xe4c69bb5b2eb8843a8559724f2bf051bf5697ca3b9e01fec6c8ef5d5cfd47495|0x37c1d9a661274bad3be6914218ec73f503cfedbf54df91c0b3cf3a9319d6f0a6|0xa4444c182ac4ace6f3e0e69813ccc8a7204dcbf2c48b1e5fa713c2f84883bf7f|0x98f31929c066bbf19ae6e1a1a75f9e61228357921672b0e7b8abbe76c97a2716|0xd8bd45376b8e100599cdae474874c5bdd9df693f7ed94b85d20c933f275f71b3|0xfeabb8b8d4f9a2718a39b6973a3af8740e2ee41237ba719ae6aba2f4ed0f0d72|0xdbc7e7c185e015d93b3f1b1b2f489e3e8cf56d0a65590dffe66f78ee0eb57f6e|0x4d97e30696836092592476bb5ceb8297237f50c63176668d0fc7922ea2f14b30|0xe38f5ca99b4fcbb2730686cc3a02f08e3296c42680fd8453a63a630ed9f42bed|0x4c07b17fb982f555108089897e965bdfa888532feaf0556794223154cda1b337|0x8781883a8949c709d80b435ae69a6ecf5f0a0bc081ad45c14746b6f49d556b06
0x191165e42b06ef3b8786ab7c5980aa47199ea737,13,155881.91107624074,1.262354,0.0,1.262354,1.8620082525249058,0.9404070603967466,-0.7689052525249056,11,0x8f27e7b07650652bb0301d3924775aa60dc02bb236e2f34fe9b9587d89f35458|0x0e12bae80b03015be5e01c7bc8b6799d7ce8644f077256eb3005718c5fbda9e9|0xeb85274099065c10b7b3ce48c632a82d3492267af55075ba0fdb273ce7b9485a|0x3abc6b04b8aa8a513208a3d6c83ee1476cb036b9c16ea73fdd2b7e9275a07a64|0x97da1c9906605baad514acd5f2be2387346c246d06ea85720261d9a404eef77c|0xd3e56e59b5e2ad46c0d828efc7b68b4fbf161685bf3c51312896a953b1898e46|0xd70d34a43982d3731d6855d3fd434e9759b04b1841d40351107a024c89bee1a9|0x31938f7f67eb4ca71dd8cd810ceed89d902fefbc5fb639c1302a886f2f2021cf|0x65c9ddcbbe4d385bb2a470dd46e301d7e318f23fffe92c52934b88ded5161755|0x329d51bae9edfaa1771f8b7374bb887561e542c4cff09210b8a72e32feca1978|0xb62606ff951e97fb424e55aebfd4e6148cd87f5e1b162f0c5c7613f7213b4a3a|0xdc402b66a54c886090b085a0c7fc1d15d724b4003528a458a4a3e9ac368a451c|0xa93f42f54a679dd58e23f57f93e48780ac2383e0ebf9ceacc1ecef3e613a5426
